seed;-1933246571
size;100,9767;101,2796
number of AGVs;27
number of APs;4
number of obstacles;96

Logs:
1091,331;44,44444;21,62496
1094,389;48,14815;21,56455
1097,395;48,14815;21,62698
1100,397;48,14815;21,56798
1103,422;48,14815;21,50885
1106,437;48,14815;21,69125
1109,457;48,14815;21,6322
1112,477;48,14815;21,57349
1115,497;48,14815;21,51507
1118,515;44,44444;21,57622
1121,525;55,55556;21,63721
1124,545;55,55556;21,69766
1127,553;51,85185;21,63978
1130,554;51,85185;21,58233
1133,575;48,14815;21,64245
1136,581;51,85185;21,58521
1139,6;55,55556;21,52803
1142,617;77,77778;21,58787
1145,618;66,66666;21,6477
1148,663;51,85185;21,7064
1151,667;51,85185;21,64978
1154,673;51,85185;21,59342
1157,677;51,85185;21,53738
1160,721;48,14815;21,59576
1163,739;44,44444;21,76891
1166,754;59,25926;21,71267
1169,762;55,55556;21,65682
1172,798;55,55556;21,94183
1175,811;55,55556;21,88561
1178,82;51,85185;21,82974
1181,828;51,85185;21,77419
1184,846;51,85185;21,71872
1187,852;48,14815;21,66375
1190,864;44,44444;21,60896
1193,872;44,44444;21,6662
1196,888;44,44444;21,6116
1199,908;44,44444;21,5572
1202,91;44,44444;21,50341
1205,913;44,44444;21,56043
1208,916;44,44444;21,50686
1211,946;44,44444;21,4531
1214,968;44,44444;21,39974
1217,974;48,14815;21,34692
1220,992;51,85185;21,29416
1224,033;59,25926;21,24126
1227,046;77,77778;21,29777
1230,057;77,77778;21,35402
1233,065;77,77778;21,41007
1236,072;77,77778;21,35799
1239,081;77,77778;21,52132
1242,102;77,77778;21,46898
1245,102;74,07407;21,41725
1248,119;74,07407;21,36549
1251,123;77,77778;21,52733
1254,139;77,77778;21,58186
1257,155;74,07407;21,53009
1260,167;77,77778;21,58444
1263,177;77,77778;21,53302
1266,184;70,37037;21,48187
1269,219;77,77778;21,4305
1272,229;77,77778;21,37979
1275,245;77,77778;21,43379
1278,263;77,77778;21,5918
1281,271;77,77778;21,54111
1284,275;77,77778;21,49073
1287,3;77,77778;21,44023
1290,311;77,77778;21,39019
1293,33;77,77778;21,44336
1296,355;77,77778;21,39331
1299,356;77,77778;21,44652
1302,379;77,77778;21,39674
1305,386;77,77778;21,4496
1308,389;77,77778;21,50227
1311,395;74,07407;21,65633
1314,402;81,48148;21,60678
1317,436;77,77778;21,75944
1320,449;77,77778;21,81077
1323,477;74,07407;21,8616
1326,479;74,07407;21,81212
1329,487;74,07407;21,76278
1332,507;55,55556;21,81352
1335,526;62,96296;21,76421
1338,547;66,66666;21,8147
1341,551;51,85185;21,76585
1344,571;44,44444;21,71696
1347,594;51,85185;21,76718
1350,607;59,25926;21,71863
1353,608;59,25926;21,67048
1356,614;62,96296;21,62246
1359,615;55,55556;21,57473
1362,62;59,25926;21,52716
1365,634;55,55556;21,47965
1368,654;55,55556;21,43226
1371,654;51,85185;21,38538
1374,664;48,14815;21,33855
1377,68;48,14815;21,29184
1380,696;55,55556;21,24532
1383,717;55,55556;21,29529
1386,743;59,25926;21,34497
1389,754;55,55556;21,39467
1392,761;51,85185;21,34848
1395,769;55,55556;21,30247
