seed;-1933246571
size;100,9767;101,2796
number of AGVs;27
number of APs;4
number of obstacles;96

Logs:
1443,415;62,96296;19,39844
1446,435;62,96296;19,5423
1449,441;59,25926;19,50177
1452,451;59,25926;19,46135
1455,468;62,96296;19,42101
1458,483;62,96296;19,38087
1461,497;62,96296;19,3409
1464,505;62,96296;19,5743
1467,515;62,96296;19,53416
1470,524;62,96296;19,49418
1473,538;62,96296;19,54479
1476,557;62,96296;19,59513
1479,558;62,96296;19,55539
1482,568;62,96296;19,51569
1485,572;62,96296;19,47622
1488,592;62,96296;19,43671
1491,615;62,96296;19,48672
1494,635;59,25926;19,53654
1497,65;59,25926;19,58624
1500,669;59,25926;19,54683
1503,692;62,96296;19,50754
1506,722;62,96296;19,46832
1509,728;62,96296;19,51786
1512,748;62,96296;19,4789
1515,76;62,96296;19,44019
1518,771;62,96296;19,48944
1521,791;62,96296;19,45077
1524,793;62,96296;19,41247
1527,801;62,96296;19,37425
1530,821;59,25926;19,51023
1533,827;62,96296;19,64585
1536,828;62,96296;19,60748
1539,829;62,96296;19,65586
1542,854;62,96296;19,61733
1545,863;62,96296;19,57915
1548,875;62,96296;19,54107
1551,895;62,96296;19,58895
1554,911;62,96296;19,63671
1557,921;62,96296;19,68435
1560,939;62,96296;19,64629
1563,954;62,96296;19,60842
1566,975;62,96296;19,65571
1569,987;55,55556;19,70293
1573,004;48,14815;19,66513
1576,027;48,14815;19,62741
1579,044;48,14815;19,58991
1582,052;55,55556;19,55266
1585,07;62,96296;19,51544
1588,076;62,96296;19,56245
1591,079;62,96296;19,52554
1594,1;55,55556;19,57217
1597,102;55,55556;19,61887
1600,108;59,25926;19,58202
1603,12;62,96296;19,6284
1606,126;59,25926;19,59165
1609,135;59,25926;19,55503
1612,149;59,25926;19,51846
1615,149;55,55556;19,4822
1618,17;51,85185;19,44584
1621,177;55,55556;19,40977
1624,179;55,55556;19,37389
1627,202;51,85185;19,3379
1630,222;51,85185;19,38386
1633,244;48,14815;19,42964
1636,245;51,85185;19,394
1639,265;51,85185;19,43961
1642,274;51,85185;19,48518
1645,293;51,85185;19,44943
1648,307;51,85185;19,41385
1651,319;51,85185;19,37845
1654,34;51,85185;19,42366
1657,349;51,85185;19,46884
1660,353;55,55556;19,67453
1663,378;55,55556;19,63875
1666,391;55,55556;19,68326
1669,394;51,85185;19,64784
1672,417;48,14815;19,69206
1675,439;51,85185;19,73612
1678,453;51,85185;19,78012
1681,475;55,55556;19,74457
1684,488;59,25926;19,78841
1687,509;51,85185;19,75298
1690,538;48,14815;19,71759
1693,551;44,44444;19,68251
1696,555;51,85185;19,64766
1699,567;59,25926;19,61284
1702,595;62,96296;19,65627
1705,61;66,66666;19,6997
1708,611;48,14815;19,74313
1711,621;40,74074;19,78631
1714,625;44,44444;19,75164
1717,647;59,25926;19,79452
1720,669;77,77778;19,75976
1723,679;66,66666;19,72525
1726,697;59,25926;19,69077
1729,715;55,55556;19,65642
1732,736;51,85185;19,62215
1735,752;51,85185;19,58805
