seed;-1933246571
size;100,9767;101,2796
number of AGVs;27
number of APs;4
number of obstacles;96

Logs:
928,0196;37,03704;12,78709
931,0355;40,74074;12,74566
934,0359;48,14815;12,70472
937,0444;44,44444;12,66393
940,0556;40,74074;12,62337
943,0624;40,74074;12,7245
946,0659;37,03704;12,82504
949,0679;40,74074;12,92496
952,0823;37,03704;12,88404
955,1046;37,03704;12,84327
958,1343;33,33333;13,08098
961,154;29,62963;13,03988
964,1584;33,33333;12,99925
967,1707;33,33333;13,09662
970,1723;33,33333;13,0561
973,1738;29,62963;13,01583
976,186;29,62963;12,97567
979,201;29,62963;12,93572
982,2118;29,62963;12,89606
985,2302;33,33333;12,85655
988,2472;33,33333;12,81731
991,2611;29,62963;12,91284
994,2636;29,62963;12,87385
997,2848;25,92593;12,83485
1000,305;25,92593;12,79609
1003,306;25,92593;12,75782
1006,307;22,22222;12,71977
1009,315;22,22222;12,81398
1012,335;18,51852;12,90746
1015,358;18,51852;12,86903
1018,358;22,22222;12,83111
1021,361;22,22222;12,92393
1024,375;22,22222;13,01607
1027,381;22,22222;12,97799
1030,399;25,92593;12,93997
1033,415;22,22222;13,03123
1036,418;22,22222;13,12212
1039,428;22,22222;13,08412
1042,441;22,22222;13,0463
1045,448;22,22222;13,00878
1048,458;25,92593;12,97144
1051,47;29,62963;12,93427
1054,48;25,92593;12,89736
1057,485;25,92593;12,98678
1060,499;25,92593;13,07561
1063,523;25,92593;13,03843
1066,539;22,22222;13,12657
1069,545;25,92593;13,08968
1072,548;22,22222;13,05303
1075,558;22,22222;13,0165
1078,573;22,22222;12,98011
1081,588;22,22222;12,94394
1084,594;18,51852;12,90806
1087,607;22,22222;12,8723
1090,611;18,51852;12,95909
1093,621;18,51852;12,92343
1096,627;22,22222;12,88801
1099,628;22,22222;12,85283
1102,652;22,22222;12,81758
1105,66;25,92593;12,78271
1108,662;29,62963;12,7481
1111,671;29,62963;12,7136
1114,722;29,62963;12,7984
1117,739;29,62963;12,88315
1120,785;29,62963;12,84814
1123,8;29,62963;12,81366
1126,83;29,62963;12,77921
1129,841;25,92593;12,98118
1132,854;22,22222;13,06435
1135,875;18,51852;13,02961
1138,889;22,22222;12,99512
1141,894;25,92593;12,96092
1144,916;22,22222;12,92671
1147,933;22,22222;12,89274
1150,944;25,92593;12,97486
1153,963;29,62963;12,94091
1156,984;29,62963;12,90712
1160,009;33,33333;12,87346
1163,025;29,62963;12,84008
1166,036;29,62963;12,92127
1169,038;29,62963;12,88809
1172,056;22,22222;12,8549
1175,064;25,92593;12,822
1178,067;25,92593;12,9025
1181,073;22,22222;13,09544
1184,08;22,22222;13,06218
1187,09;22,22222;13,02906
1190,096;22,22222;12,99615
1193,099;22,22222;12,96344
1196,104;22,22222;12,93087
1199,118;14,81481;12,89837
1202,129;14,81481;12,86607
1205,129;18,51852;12,83404
1208,139;18,51852;12,80206
1211,145;18,51852;12,77028
1214,159;22,22222;12,73858
1217,178;22,22222;12,70699
1220,186;22,22222;12,67567
1223,211;22,22222;12,75332
1226,222;25,92593;12,72201
1229,243;25,92593;12,69074
1232,25;22,22222;12,65977
1235,253;25,92593;12,62899
1238,275;22,22222;12,59818
1241,298;25,92593;12,56749
1244,301;25,92593;12,53716
1247,304;25,92593;12,50697
1250,305;22,22222;12,5836
1253,314;18,51852;12,55339
1256,321;18,51852;12,62947
1259,344;18,51852;12,59916
1262,356;22,22222;12,56909
1265,372;22,22222;12,53914
1268,381;22,22222;12,6145
1271,406;22,22222;12,68937
1274,416;25,92593;12,6594
1277,417;25,92593;12,62965
1280,432;29,62963;12,59992
1283,442;25,92593;12,57037
1286,45;29,62963;12,54097
1289,464;25,92593;12,51166
1292,479;29,62963;12,58563
1295,491;25,92593;12,65929
1298,509;33,33333;12,62987
1301,52;25,92593;12,60065
1304,528;25,92593;12,5716
1307,539;22,22222;12,64462
1310,548;25,92593;12,61559
1313,564;29,62963;12,68813
1316,584;29,62963;12,65902
1319,592;29,62963;12,63017
1322,594;25,92593;12,6015
1325,608;25,92593;12,57285
1328,618;25,92593;12,64472
1331,627;25,92593;12,71627
1334,644;25,92593;12,68753
1337,661;18,51852;12,65891
1340,683;18,51852;12,63038
1343,686;18,51852;12,60215
1346,691;18,51852;12,57403
1349,693;11,11111;12,54606
1352,713;11,11111;12,51805
1355,733;7,407407;12,49017
1358,734;14,81481;12,46258
1361,749;11,11111;12,43499
1364,753;14,81481;12,50532
1367,768;14,81481;12,47775
1370,773;18,51852;12,4504
1373,793;18,51852;12,42302
1376,801;14,81481;12,39589
1379,824;7,407407;12,36873
1382,839;7,407407;12,34176
1385,846;7,407407;12,31498
1388,848;7,407407;12,38436
1391,87;7,407407;12,35748
1394,886;11,11111;12,33076
1397,903;14,81481;12,39952
1400,91;11,11111;12,37291
1403,919;7,407407;12,34639
1406,937;7,407407;12,3199
1409,94;11,11111;12,29367
1412,954;11,11111;12,26744
1415,977;11,11111;12,24126
1418,987;14,81481;12,21529
1422,001;14,81481;12,1894
1425,025;11,11111;12,2571
1428,039;14,81481;12,23122
1431,058;14,81481;12,20542
1434,082;14,81481;12,17969
1437,098;14,81481;12,15412
1440,106;11,11111;12,12873
1443,118;11,11111;12,10342
1446,128;11,11111;12,17043
1449,139;18,51852;12,14515
1452,151;22,22222;12,11995
1455,169;22,22222;12,09481
1458,187;18,51852;12,06979
1461,207;14,81481;12,04484
1464,228;18,51852;12,11104
1467,249;18,51852;12,08611
1470,251;18,51852;12,06143
1473,253;18,51852;12,03685
1476,274;18,51852;12,10254
1479,281;18,51852;12,07794
1482,303;18,51852;12,05332
1485,309;22,22222;12,02892
1488,324;22,22222;12,00455
1491,325;18,51852;11,9804
1494,335;18,51852;12,22394
1497,356;18,51852;12,19928
1500,361;18,51852;12,17485
1503,374;14,81481;12,15045
1506,377;18,51852;12,12622
1509,396;22,22222;12,10197
1512,415;22,22222;12,07781
1515,436;18,51852;12,05374
1518,442;14,81481;12,02987
1521,447;18,51852;12,00611
1524,465;18,51852;11,98235
1527,494;22,22222;11,95859
1530,501;22,22222;11,93509
1533,501;22,22222;11,91174
1536,517;22,22222;11,88836
1539,523;18,51852;11,86515
1542,535;22,22222;12,01485
1545,536;22,22222;11,99152
1548,553;22,22222;12,05427
1551,565;25,92593;12,03086
1554,574;25,92593;12,00758
1557,589;25,92593;11,98433
1560,591;25,92593;12,04672
1563,613;25,92593;12,02343
1566,625;25,92593;12,00032
1569,63;29,62963;11,97734
1572,646;22,22222;11,95437
1575,667;22,22222;11,93145
1578,684;18,51852;11,90865
1581,69;18,51852;11,88602
1584,696;22,22222;11,86347
1587,719;18,51852;11,84089
1590,723;22,22222;11,98617
1593,74;25,92593;11,96348
1596,753;25,92593;12,0244
1599,778;25,92593;12,00166
1602,799;25,92593;11,97904
1605,811;22,22222;11,95658
1608,818;22,22222;11,93423
1611,831;18,51852;11,91192
1614,839;18,51852;11,88973
1617,861;14,81481;11,86752
1620,872;18,51852;11,84547
1623,899;22,22222;11,82339
1626,922;25,92593;11,80143
1629,94;25,92593;11,77958
1632,951;25,92593;11,75785
1635,963;25,92593;11,73621
1638,985;25,92593;11,79592
1641,99;25,92593;11,77433
1644,997;25,92593;11,75281
1648,011;25,92593;11,73131
1651,024;25,92593;11,79067
1654,057;25,92593;11,93026
1657,057;25,92593;11,90866
1660,071;25,92593;11,88704
1663,077;22,22222;11,86555
1666,1;22,22222;11,84402
1669,113;22,22222;11,82265
1672,118;22,22222;11,8014
1675,135;25,92593;11,78014
1678,144;25,92593;11,75903
1681,161;25,92593;11,73792
1684,171;22,22222;11,79611
1687,196;22,22222;11,77496
1690,22;22,22222;11,83278
1693,238;22,22222;11,89043
1696,252;25,92593;11,8693
1699,276;25,92593;11,84818
1702,288;25,92593;11,82722
1705,289;22,22222;11,80641
1708,297;22,22222;11,78561
1711,304;22,22222;11,76491
1714,317;22,22222;11,74423
1717,322;25,92593;11,80132
1720,324;18,51852;11,78073
1723,349;18,51852;11,83742
1726,352;18,51852;11,81682
1729,355;18,51852;11,79631
1732,368;18,51852;11,77579
1735,374;22,22222;11,75539
1738,397;18,51852;11,73495
1741,415;18,51852;11,71461
1744,428;22,22222;11,69438
1747,439;18,51852;11,67422
1750,455;18,51852;11,65411
1753,46;18,51852;11,63414
1756,469;18,51852;11,61421
1759,474;22,22222;11,59438
1762,489;18,51852;11,57454
1765,532;18,51852;11,63011
1768,549;18,51852;11,76105
1771,562;18,51852;11,74105
1774,564;18,51852;11,72119
1777,576;14,81481;11,70133
1780,599;14,81481;11,68146
1783,613;14,81481;11,66172
1786,635;18,51852;11,642
1789,635;14,81481;11,62248
1792,638;14,81481;11,60301
1795,646;14,81481;11,58358
1798,664;22,22222;11,56414
1801,673;25,92593;11,54482
1804,681;25,92593;11,52558
1807,705;25,92593;11,5063
1810,717;25,92593;11,48716
1813,718;25,92593;11,46815
1816,728;29,62963;11,44916
1819,732;29,62963;11,43026
1822,739;25,92593;11,48455
1825,741;29,62963;11,53869
1828,744;25,92593;11,51974
1831,751;29,62963;11,50084
1834,769;29,62963;11,48192
1837,781;25,92593;11,53565
1840,801;25,92593;11,51672
1843,824;25,92593;11,49784
1846,829;25,92593;11,47913
1849,837;25,92593;11,53255
1852,86;25,92593;11,58569
1855,882;25,92593;11,56682
1858,911;25,92593;11,61971
1861,935;25,92593;11,60083
1864,939;22,22222;11,65364
1867,962;22,22222;11,63478
1870,982;22,22222;11,616
1873,999;22,22222;11,5973
1876,999;22,22222;11,57877
1880,005;18,51852;11,56025
1883,007;22,22222;11,54182
1886,012;22,22222;11,52343
1889,016;25,92593;11,50511
1892,039;25,92593;11,48673
1895,052;25,92593;11,53882
1898,064;25,92593;11,52051
1901,07;25,92593;11,50229
1904,072;22,22222;11,48416
1907,076;25,92593;11,53598
1910,095;22,22222;11,51775
1913,111;22,22222;11,49959
1916,117;25,92593;11,48155
1919,138;29,62963;11,46348
1922,138;29,62963;11,44559
1925,157;25,92593;11,42764
1928,178;25,92593;11,47889
1931,197;22,22222;11,52998
1934,21;25,92593;11,51202
1937,221;18,51852;11,49413
1940,238;18,51852;11,47626
1943,247;18,51852;11,45848
1946,26;25,92593;11,44075
1949,278;22,22222;11,42303
1952,293;22,22222;11,40539
1955,303;22,22222;11,38783
1958,304;22,22222;11,43847
1961,312;22,22222;11,48891
1964,318;22,22222;11,5392
1967,345;25,92593;11,52145
1970,356;25,92593;11,57151
1973,376;22,22222;11,55381
1976,386;22,22222;11,53621
1979,39;22,22222;11,5187
1982,412;25,92593;11,50114
1985,429;22,22222;11,55082
1988,441;22,22222;11,53333
